College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,Facilities,City,College Type,Average Fees
Heritage Institute of Technology,Co-Ed,,4261,205,2001,2.76,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Kolkata,Private,326320
National Institute of Technology Hamirpur ,Co-Ed,320 Acres,3476,132,1986,,"Boys Hostel, Girls Hostel, Library, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Hamirpur,Public/Government,290307.8125
Maulana Abul Kalam Azad University of Technology,Co-Ed,40 Acres,409,20,2000,2.87,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Kolkata,Public/Government,338536.7925
Shiv Nadar University,Co-Ed,286 Acres,2062,177,2011,2.85,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations, Banks Facilities",Greater Noida,Private,542241.3793
Sri Venkateswara University College of Engineering,Co-Ed,40 Acres,1514,52,1959,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Medical/Hospital, IT Infrastructure, Alumni Associations",Tirupati,Public/Government,47176.47059
National Institute of Technology Agartala ,Co-Ed,366 Acres,3489,104,1965,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Agartala,Public/Government,260783.7838
Dr APJ Abdul Kalam Technical University,Co-Ed,,,,2000,,"Library, Sports, IT Infrastructure, Laboratories",Lucknow,Public/Government,316023.2727
GITAM University,Co-Ed,255 Acres,72259,847,1980,3.53,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, Transport, Banks Facilities",Visakhapatnam,Private,421933.8095
Koneru Lakshmaiah Education Foundation,Co-Ed,100 Acres,15544,978,2009,3.57,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Guntur,Private,471162.7907
Galgotias University,Co-Ed,52 Acres,13241,719,2011,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Alumni Associations",Greater Noida,Private,310501.3889
Kurukshetra University,Co-Ed,473 Acres,8099,590,1956,3.52,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Alumni Associations, Guest Room, Banks Facilities",Kurukshetra,Public/Government,177177.9885
Guru Nanak Dev University,Co-Ed,500 Acres,9220,242,1969,3.51,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Parking Facility, Guest Room",Amritsar,Public/Government,135126.7176
Cochin University of Science and Technology,Co-Ed,180 Acres,4096,378,1971,3.09,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Kochi,Public/Government,156140.3922
Haldia Institute of Technology,Co-Ed,37 Acres,4404,248,1996,3.31,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Haldia,Private,284000
National Institute of Technology Srinagar ,Co-Ed,,2565,80,1960,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations, Guest Room",Srinagar,Public/Government,332444.4444
Dr Vishwanath Karad MIT World Peace University,Co-Ed,52 Acres,4702,511,2017,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Swimming Pool, Alumni Associations, Banks Facilities",Pune,Private,755792.4528
Chhatrapati Shahu Ji Maharaj University,Co-Ed,264 Acres,5319,124,1966,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Kanpur,Public/Government,99376.66667
Madan Mohan Malaviya University of Technology,Co-Ed,339 Acres,3065,41,2013,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Gorakhpur,Public/Government,393741.9355
Deen Bandhu Chhotu Ram University of Science and Technology,Co-Ed,273 Acres,3782,174,2006,3.02,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Sonepat,Public/Government,180218.4028
Shivaji University,Co-Ed,853 Acres,23820,179,1962,3.16,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Kolhapur,Public/Government,231342.1831
Gayatri Vidya Parishad College of Engineering,Co-Ed,20 Acres,5469,273,1996,3.47,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Visakhapatnam,Private,239380.9524
National Institute of Technology Arunachal Pradesh ,Co-Ed,,698,63,2010,2.34,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations",Papum Pare,Public/Government,325950
Manipal University,Co-Ed,122 Acres,7606,547,2011,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Moot Court, Laboratories, Alumni Associations, Guest Room",Jaipur,Private,523740.7407
Jawaharlal Nehru Technological University,Co-Ed,89 Acres,730,276,1972,3.01,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations, Guest Room, Banks Facilities",Hyderabad,Public/Government,219825.0883
Rajasthan Technical University,Co-Ed,,2621,105,2006,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Alumni Associations, Banks Facilities",Kota,Public/Government,262906.6667
Guru Jambheshwar University of Science and Technology,Co-Ed,372 Acres,12899,200,1995,3.28,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Convenience Store, Alumni Associations, Banks Facilities",Hisar,Public/Government,122069.6078
MBM Engineering College,Co-Ed,62 Acres,,79,1951,,"Boys Hostel, Girls Hostel, Library, Sports, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Jodhpur,Public/Government,106447.3684
Guru Ghasidas Vishwavidyalaya,Co-Ed,655 Acres,7070,232,1983,2.72,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Bilaspur,Public/Government,37003.37838
Jawaharlal Nehru Technological University,Co-Ed,110 Acres,3001,140,1946,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations",Kakinada,Public/Government,213617.8082
Jaipur National University,Co-Ed,170 Acres,19329,522,2007,2.28,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Jaipur,Private,242929.6875
Dr MGR Educational and Research Institute,Co-Ed,300 Acres,12424,1566,2003,3.31,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations",Chennai,Public/Government,253453.5443
JNTUA College of Engineering,Co-Ed,185 Acres,2450,57,1946,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Anantapur,Public/Government,56464.28571
Pondicherry University,Co-Ed,800 Acres,15904,380,1985,3.1,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Kalapet,Public/Government,121542.1905
NIMS University,Co-Ed,60 Acres,4273,550,2008,2.54,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Banks Facilities",Jaipur,Private,561898.1481
Punjabi University,Co-Ed,600 Acres,26549,806,1962,3.34,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Moot Court, Laboratories, Alumni Associations, Guest Room",Patiala,Public/Government,137022.6667
Acharya Nagarjuna University,Co-Ed,274 Acres,17060,125,1976,3.08,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Guntur,Public/Government,146143.7383
Rajiv Gandhi Proudyogiki Vishwavidyalaya,Co-Ed,247 Acres,,18,1998,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, IT Infrastructure, Laboratories, Guest Room",Bhopal,Public/Government,251148
Gujarat Technological University,Co-Ed,,199,25,2007,,"Boys Hostel, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Ahmedabad,Public/Government,170923.069
Maharshi Dayanand University,Co-Ed,665 Acres,65782,396,1976,3.44,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Alumni Associations, Banks Facilities",Rohtak,Public/Government,128565.9236
Himachal Pradesh University,Co-Ed,200 Acres,11785,236,1970,3.21,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations",Shimla,Public/Government,136316.791
Dibrugarh University,Co-Ed,500 Acres,13494,209,1965,3.16,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Dibrugarh,Public/Government,57395.11811
Dr Babasaheb Ambedkar Technological University,Co-Ed,525 Acres,2639,54,1989,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",Lonere,Public/Government,279052.1327
Gautam Buddha University,Co-Ed,511 Acres,3658,137,2002,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Greater Noida,Public/Government,237873.494
Kakatiya University,Co-Ed,640 Acres,5261,157,1976,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Hanamkonda,Public/Government,116186.9
Visvesvaraya Technological University,Co-Ed,,134,479,1998,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",Belgaum,Public/Government,365277.4242
University of Calicut,Co-Ed,547 Acres,148878,131,1968,3.13,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Malappuram,Public/Government,104846.1739
IK Gujral Punjab Technical University,Co-Ed,78 Acres,1505,77,1997,,"Boys Hostel, Girls Hostel, Library, Sports, Auditorium, IT Infrastructure, Transport, Alumni Associations",Kapurthala,Public/Government,274623.4555
Dr Babasaheb Ambedkar Marathwada University,Co-Ed,725 Acres,4495,211,1958,3.22,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Aurangabad,Public/Government,127575.8108
Babu Banarasi Das National Institute of Technology and Management,Co-Ed,,,221,1998,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Banks Facilities",Lucknow,Private,422214.2857
University of Kerala,Co-Ed,,19718,172,1937,3.03,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Thiruvananthapuram,Public/Government,80572.79221
Gauhati University,Co-Ed,650 Acres,20275,349,1948,3.04,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations",Guwahati,Public/Government,70953.5443
Bipin Tripathi Kumaon Institute of Technology,Co-Ed,155 Acres,1399,35,1991,,"Boys Hostel, Girls Hostel, Library, Cafeteria, Medical/Hospital, Wifi, Guest Room, Banks Facilities",Hulank Talli Mirai,Public/Government,242363.6364
Calcutta Institute of Technology,Co-Ed,33 Acres,476,91,2004,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Guest Room, Banks Facilities",Howrah,Private,236600
Ranchi University,Co-Ed,,7297,141,1960,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Medical/Hospital, IT Infrastructure, Laboratories, Parking Facility",Ranchi,Public/Government,99484.17722
Shaheed Bhagat Singh State Technical Campus,Co-Ed,98 Acres,1274,67,1995,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Firozpur,Public/Government,265789.4737
Meerut Institute of Engineering and Technology,Co-Ed,,4160,396,1997,2.76,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Guest Room, Banks Facilities",Rampur Pawti,Private,350900
Swami Keshvanand Institute of Technology,Co-Ed,13 Acres,4131,256,2000,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Jaipur,Private,245357.1429
Uttarakhand Technical University,Co-Ed,21 Acres,917,23,2005,,"Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations, Banks Facilities",Dehradun,Public/Government,313690.1826
Centurion University of Technology and Management,Co-Ed,120 Acres,2460,357,2010,3.1,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Convenience Store, Banks Facilities",Gajapati,Private,331312.5
Jawaharlal Nehru Technological University,Co-Ed,155 Acres,5374,188,2008,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",Anantapur,Public/Government,198575.1004
Amity University,Co-Ed,100 Acres,2074,143,2010,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Moot Court, Alumni Associations, Banks Facilities",Gwalior,Private,367992.8058
Quantum School of Technology,Co-Ed,,829,197,2008,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Transport, Laboratories, Guest Room",Roorkee,Private,344275.8621
Himachal Pradesh Technical University,Co-Ed,,139,,2010,,"Boys Hostel, Girls Hostel, Library, Sports, Auditorium, IT Infrastructure, Laboratories, Alumni Associations",Hamirpur,Public/Government,206830.1887
Jai Narain Vyas University,Co-Ed,592 Acres,21314,385,1962,,"Boys Hostel, Girls Hostel, Library, Sports, Auditorium, IT Infrastructure, Laboratories",Jodhpur,Public/Government,106006
Kavayitri Bahinabai Chaudhari North Maharashtra University,Co-Ed,646 Acres,2624,84,1990,3.05,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Jalgaon,Public/Government,154649.726
Chhattisgarh Swami Vivekanand Technical University,Co-Ed,,70,,2005,,"Library, Sports, Auditorium, Medical/Hospital, IT Infrastructure",Bhilai,Public/Government,197656.9231
Swami Vivekanand University,Co-Ed,65 Acres,13645,246,2012,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Guest Room",Sironja,Private,67613.21839
Jaypee University of Engineering and Technology,Co-Ed,125 Acres,1396,326,2010,3.06,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Chetabarri,Private,394818.1818
Aryabhatta Knowledge University,Co-Ed,,42,,2010,,"Library, Sports, IT Infrastructure, Laboratories",Patna,Public/Government,179491.3445
Singhania University,Co-Ed,30 Acres,,,2007,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, IT Infrastructure, Laboratories, Alumni Associations",Rasoolpur,Private,78124.56747
Institute of Engineering and Technology,Co-Ed,100 Acres,2500,63,1984,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Sitapur,Private,122500
Assam Science and Technology University,Co-Ed,,8,,2010,,"Library, Sports, IT Infrastructure, Laboratories",Guwahati,Public/Government,172623.75
Ponnaiyah Ramajayam Institute of Science and Technology,Co-Ed,70 Acres,2247,204,1985,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations",Thanjavur,Private,112492.0635
Dr KN Modi Institute of Engineering and Technology,Co-Ed,,1169,117,1995,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Alumni Associations, Guest Room",Modinagar,Private,326100
Baba Ghulam Shah Badshah University,Co-Ed,,2494,174,2002,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Transport, Banks Facilities",Jammu,Public/Government,133750
Baddi University of Emerging Sciences and Technology,Co-Ed,40 Acres,1348,59,2009,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Auditorium, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations, Banks Facilities",Baddi,Private,218031.3725
Mewar University,Co-Ed,30 Acres,1203,152,2008,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Guest Room",Chittorgarh,Private,196701.4925
Raja Balwant Singh Engineering Technical Campus,Co-Ed,,1527,25,1996,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Bichpuri,Private,282928.5714
Mohammad Ali Jauhar University,Co-Ed,250 Acres,1760,60,2006,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Alumni Associations, Banks Facilities",Rampur,Private,80170.09346
Mahatma Jyoti Rao Phoole University,Co-Ed,100 Acres,5459,,2009,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations",Kalwad Kalan and Khurd,Private,125839.0805
Biju Patnaik University of Technology,Co-Ed,,157,9,2002,,"Library, IT Infrastructure, Laboratories",Rourkela,Public/Government,247117.9389
Centurion Institute of Technology,Co-Ed,,,192,2008,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure",Khurdha,Private,360714.2857
Tripura University,Co-Ed,75 Acres,9338,172,1987,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Banks Facilities",Bikramnagar,Public/Government,213348.5329
CMJ University,Co-Ed,40 Acres,595,,2009,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations",Shillong,Private,75955.59846
Maharaja Agrasen University,Co-Ed,19 Acres,1810,131,2013,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Convenience Store, Banks Facilities",Solan,Private,255306.1224
