College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Courses,Facilities,City,State,Country,College Type,Average Fees
Indian Institute of Technology Hyderabad ,Co-Ed,576 Acres,,190,2008,,,"B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations",Hyderabad,Telangana,India,Public/Government,288884.5946
Nirma University,Co-Ed,115 Acres,8223,369,2003,3.18,,"B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations, Banks Facilities",Ahmedabad,Gujarat,India,Private,705485.7143
Indraprastha Institute of Information Technology,Co-Ed,25 Acres,1711,52,2008,3.04,,B.Tech Computer Science and Engineering,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations",New Delhi,Delhi,India,Public/Government,915384.6154
Lovely Professional University,Co-Ed,600 Acres,47579,2200,2005,,,"B.Tech Chemical Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Phagwara,Punjab,India,Private,423667.1769
International Institute of Information Technology Bangalore ,Co-Ed,10 Acres,840,62,2005,3.08,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Guest Room",Bengaluru,Karnataka,India,Public/Government,529833.3333
Christ University,Co-Ed,80 Acres,20823,702,2008,3.25,,"B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Bengaluru,Karnataka,India,Private,313873.7705
Indian Institute of  Information Technology  Surat,Co-Ed,251 Acres,4785,170,1961,,,"B.Tech Mechanical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Surat,Gujarat,India,Public/Government,224208.3333
National Institute of Technology Durgapur ,Co-Ed,187 Acres,3580,178,1960,,,"B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Civil Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Durgapur,West Bengal,India,Public/Government,296571.7949
PES University,Co-Ed,25 Acres,6465,410,2013,,,"B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Alumni Associations",Bengaluru,Karnataka,India,Private,276055.5556
Indian Institute of Space Science and Technology,Co-Ed,100 Acres,900,101,2007,2.87,,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Laboratories, Banks Facilities",Thiruvananthapuram,Kerala,India,Public/Government,99611.11111
Indian Institute of Technology Banaras Hindu University Varanasi ,Co-Ed,,5902,338,1919,,,"B.Tech Chemical Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Computer Science and Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Varanasi,Uttar Pradesh,India,Public/Government,445083.0189
Indian Institute of  Information Technology Pune,Co-Ed,17 Acres,1647,235,1983,,"Dr Vishwanath Karad MIT World Peace University, Pune",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,695000
National Institute of Technology Delhi ,Co-Ed,51 Acres,711,45,2010,,,"B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations",New Delhi,Delhi,India,Public/Government,321666.6667
Veermata Jijabai Technological Institute,Co-Ed,16 Acres,3575,134,1887,,"University of Mumbai, Mumbai","B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Convenience Store, Alumni Associations",Mumbai,Maharashtra,India,Public/Government,177209.4118
Amrita School of Engineering,Co-Ed,,,300,1994,,"Amrita Vishwa Vidyapeetham, Coimbatore","B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering, B.Tech Civil Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Coimbatore,Tamil Nadu,India,Private,649857.1429
National Institute of Technology Kurukshetra ,Co-Ed,300 Acres,4660,179,2008,,,"B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Alumni Associations, Banks Facilities",Kurukshetra,Haryana,India,Public/Government,274000
MIT College of Engineering,Co-Ed,,1607,152,2001,,"Dr Vishwanath Karad MIT World Peace University, Pune","B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Chemical Engineering, B.Tech Electrical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations",Pune,Maharashtra,India,Private,943500
College of Engineering,Co-Ed,223 Acres,8301,271,1974,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Swimming Pool, Convenience Store, Alumni Associations, Banks Facilities",Chennai,Tamil Nadu,India,Public/Government,100167.9412
Malaviya National Institute of Technology Jaipur ,Co-Ed,317 Acres,4519,194,2007,,,"B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering, B.Tech Civil Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Guest Room, Banks Facilities",Jaipur,Rajasthan,India,Public/Government,357081.0811
Maulana Azad National Institute of Technology Bhopal ,Co-Ed,650 Acres,5137,179,1960,,,"B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Electrical Engineering, B.Tech Civil Engineering, B.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Bhopal,Madhya Pradesh,India,Public/Government,264609.7561
Indian Institute of Information Technology Allahabad ,Co-Ed,100 Acres,1669,63,1999,,,B.Tech Electronics and Communication Engineering,"Boys Hostel, Girls Hostel, Library, Sports, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Allahabad,Uttar Pradesh,India,Public/Government,313000
Indian Institute of Information Technology Guwahati ,Co-Ed,704 Acres,5951,393,1994,,,"B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Swimming Pool, Alumni Associations",Guwahati,Assam,India,Public/Government,254171.9512
Thiagarajar College of Engineering,Co-Ed,143 Acres,3856,286,1957,3.47,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations",Madurai,Tamil Nadu,India,Private,130524.7368
BITS Pilani- Hyderabad Campus,Co-Ed,200 Acres,,559,2008,,"Birla Institute of Technology and Science, Pilani",,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Hyderabad,Telangana,India,Private,1110000
JNTUH College of Engineering,Co-Ed,100 Acres,1917,107,1965,,"Jawaharlal Nehru Technological University, Hyderabad","B.Tech Chemical Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, M.Tech Computer Science","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Hyderabad,Telangana,India,Public/Government,61641.02564
Maharaja Sayajirao University of Baroda,Co-Ed,275 Acres,42886,523,1949,3.16,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Vadodara,Gujarat,India,Public/Government,73627.87645
Dhirubhai Ambani Institute of Information and Communication Technology,Co-Ed,50 Acres,1689,58,2003,3.11,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Gandhinagar,Gujarat,India,Private,422000
Indian Institute of Technology Indian School of Mines Dhanbad ,Co-Ed,218 Acres,7545,293,1926,,,"B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Civil Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room",Dhanbad,Jharkhand,India,Public/Government,265595.7447
Punjab Engineering College,Co-Ed,146 Acres,3137,111,1921,,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Convenience Store, Guest Room, Banks Facilities",Chandigarh,Chandigarh,India,Public/Government,322409.0909
Harcourt Butler Technical University,Co-Ed,348 Acres,,79,1921,,,"B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering, B.Tech Electrical Engineering, B.Tech Civil Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Kanpur,Uttar Pradesh,India,Public/Government,455480
Indian Institute of Technology Indore ,Co-Ed,501 Acres,1838,116,2009,,,"B.Tech Mechanical Engineering, B.Tech Electrical Engineering, B.Tech Computer Science and Engineering, B.Tech Civil Engineering","Boys Hostel, Girls Hostel, Library, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations",Simrol,Madhya Pradesh,India,Public/Government,326473.6842
Andhra University College of Engineering,Co-Ed,160 Acres,,137,1955,,"Andhra University, Visakhapatnam","B.Tech Chemical Engineering, B.Tech Computer Science and Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Transport, Laboratories, Alumni Associations",Visakhapatnam,Andhra Pradesh,India,Public/Government,64333.33333
Sri Sivasubramaniya Nadar College of Engineering,Co-Ed,,3918,262,1996,3.55,"Anna University, Chennai",B.Tech Chemical Engineering,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations",Kelambakkam,Tamil Nadu,India,Private,198333.3333
VIT University,Co-Ed,177 Acres,7763,381,2010,,"Vellore Institute of Technology, Vellore","B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Kelambakkam,Tamil Nadu,India,Private,577000
Bangalore Institute of Technology,Co-Ed,5 Acres,4493,297,1979,,"Visvesvaraya Technological University, Belagavi",,"Boys Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",Bengaluru,Karnataka,India,Private,178800
Vishwakarma Institute of Technology,Co-Ed,18 Acres,,202,1983,3.53,"Savitribai Phule Pune University, Pune","B.Tech Mechanical Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",Pune,Maharashtra,India,Private,511550
Indian Institute of Technology Gandhinagar ,Co-Ed,400 Acres,1588,96,2008,,,"M.Tech Chemical Engineering, B.Tech Chemical Engineering, B.Tech Mechanical Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Civil Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Banks Facilities",Gandhinagar,Gujarat,India,Public/Government,432550
Savitribai Phule Pune University,Co-Ed,411 Acres,8185,686,1949,3.6,,"B.Tech Civil Engineering, B.Tech Mechanical Engineering, B.Tech Mechanical Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Convenience Store, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Public/Government,268075.6818
Indian Institute of Technology Ropar ,Co-Ed,500 Acres,1468,115,2008,,,"B.Tech Electrical Engineering, B.Tech Mechanical Engineering, B.Tech Computer Science and Engineering, B.Tech Civil Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations, Guest Room",Rupnagar,Punjab,India,Public/Government,358525.4545
Jamia Hamdard,Co-Ed,92 Acres,7888,384,1989,3.15,,"B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure",New Delhi,Delhi,India,Private,485076.9231
Panjab University,Co-Ed,550 Acres,30278,779,1947,3.35,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Chandigarh,Chandigarh,India,Public/Government,92901.41844
Symbiosis International University,Co-Ed,300 Acres,187,1321,2002,3.58,,"B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Alumni Associations",Pune,Maharashtra,India,Private,706753.211
Chandigarh University,Co-Ed,200 Acres,23917,832,2012,,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Chandigarh,Punjab,India,Private,389054.6875
National Institute of Technology Silchar ,Co-Ed,625 Acres,3379,209,1967,,,"B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Silchar,Assam,India,Public/Government,252717.6
BMS Institute of Technology and Management,Co-Ed,25 Acres,,146,2002,3.21,"Visvesvaraya Technological University, Belagavi","B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Civil Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Bengaluru,Karnataka,India,Private,188800
Dayananda Sagar College of Engineering,Co-Ed,29 Acres,7190,500,1979,3.42,"Visvesvaraya Technological University, Belagavi",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Parking Facility, Banks Facilities",Bengaluru,Karnataka,India,Private,250735.1613
Jawaharlal Nehru University,Co-Ed,1019 Acres,7161,600,1969,3.77,,"B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",New Delhi,Delhi,India,Public/Government,17570
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior ,Co-Ed,160 Acres,956,38,1997,3.13,,B.Tech Computer Science and Engineering,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Auditorium, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Alumni Associations",Gwalior,Madhya Pradesh,India,Public/Government,379000
JC Bose University of Science and Technology,Co-Ed,20 Acres,3174,173,1969,3.08,,"B.Tech Mechanical Engineering, B.Tech Mechanical Engineering, B.Tech Mechanical Engineering, B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Civil Engineering, B.Tech Civil Engineering, B.Tech Civil Engineering, B.Tech Civil Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Computer Science and Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Electronics and Communication Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Mechanical Engineering, B.Tech Mechanical Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Electronics and Communication Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Faridabad,Haryana,India,Public/Government,248510.4396
National Institute of Technology Raipur ,Co-Ed,100 Acres,3785,242,1956,,,"B.Tech Electronics and Communication Engineering, B.Tech Electrical Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Raipur,Chhattisgarh,India,Public/Government,377000
Chaitanya Bharathi Institute of Technology,Co-Ed,51 Acres,4948,197,1979,3.11,"Osmania University, Hyderabad",B.Tech Chemical Engineering,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Hyderabad,Telangana,India,Private,325052.6316
Institute of Engineering and Technology Lucknow,Co-Ed,100 Acres,2545,63,1984,,"Dr APJ Abdul Kalam Technical University, Lucknow","B.Tech Chemical Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Electrical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Medical/Hospital, IT Infrastructure, Laboratories, Banks Facilities",Lucknow,Uttar Pradesh,India,Public/Government,265307.6923
Madras Institute of Technology,Co-Ed,,4016,125,1949,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Library, Sports, Auditorium, Medical/Hospital, IT Infrastructure, Alumni Associations",Chennai,Tamil Nadu,India,Public/Government,141333.3333
University of Hyderabad,Co-Ed,2000 Acres,4312,402,1974,3.72,,M.Tech Computer Science,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations",Hyderabad,Telangana,India,Public/Government,53266.0177
Dr B R Ambedkar National Institute of Technology Jalandhar ,Co-Ed,154 Acres,3340,208,2002,,,"B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering, B.Tech Electrical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Jalandhar,Punjab,India,Public/Government,309872.7273
National Institute of Industrial Engineering,Co-Ed,67 Acres,,46,1963,,,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Convenience Store, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,1167000
Indian Institute of  Information Technology Bhubaneswar ,Co-Ed,936 Acres,1750,129,2008,,,"B.Tech Electrical Engineering, B.Tech Mechanical Engineering, B.Tech Computer Science and Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Bhubaneshwar,Odisha,India,Public/Government,518128.2353
